sensor,valor,unidade,status,timestamp,ciclo,tipo,nome,estado,codigo,severidade
TQ-MIX-PT,2.59457,BAR,OK,2026-06-28 10:47:53,235,leitura,,,,
RES-Q-TT,74.6536,C,OK,2026-06-28 10:47:53,235,leitura,,,,
RES-F-TT,12.2066,C,OK,2026-06-28 10:47:53,235,leitura,,,,
,28.0,,,2026-06-28 10:47:53,235,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:47:53,235,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.2429,C,OK,2026-06-28 10:47:56,236,leitura,,,,
TQ-MIX-LT,79.5843,%,OK,2026-06-28 10:47:56,236,leitura,,,,
TQ-MIX-PT,2.59169,BAR,OK,2026-06-28 10:47:56,236,leitura,,,,
RES-Q-TT,74.5163,C,OK,2026-06-28 10:47:56,236,leitura,,,,
RES-F-TT,12.2429,C,OK,2026-06-28 10:47:56,236,leitura,,,,
,28.0,,,2026-06-28 10:47:56,236,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:47:56,236,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.7303,C,OK,2026-06-28 10:47:59,237,leitura,,,,
TQ-MIX-LT,79.4403,%,OK,2026-06-28 10:47:59,237,leitura,,,,
TQ-MIX-PT,2.58881,BAR,OK,2026-06-28 10:47:59,237,leitura,,,,
RES-Q-TT,74.7303,C,OK,2026-06-28 10:47:59,237,leitura,,,,
RES-F-TT,12.2713,C,OK,2026-06-28 10:47:59,237,leitura,,,,
,28.0,,,2026-06-28 10:47:59,237,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:47:59,237,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.1365,C,OK,2026-06-28 10:48:02,238,leitura,,,,
TQ-MIX-LT,79.2963,%,OK,2026-06-28 10:48:02,238,leitura,,,,
TQ-MIX-PT,2.5859300000000003,BAR,OK,2026-06-28 10:48:02,238,leitura,,,,
RES-Q-TT,74.7524,C,OK,2026-06-28 10:48:02,238,leitura,,,,
RES-F-TT,12.1365,C,OK,2026-06-28 10:48:02,238,leitura,,,,
,28.0,,,2026-06-28 10:48:02,238,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:02,238,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.7968,C,OK,2026-06-28 10:48:05,239,leitura,,,,
TQ-MIX-LT,79.1523,%,OK,2026-06-28 10:48:05,239,leitura,,,,
TQ-MIX-PT,2.58305,BAR,OK,2026-06-28 10:48:05,239,leitura,,,,
RES-Q-TT,74.7968,C,OK,2026-06-28 10:48:05,239,leitura,,,,
RES-F-TT,12.4156,C,OK,2026-06-28 10:48:05,239,leitura,,,,
,28.0,,,2026-06-28 10:48:05,239,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:05,239,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.4308,C,OK,2026-06-28 10:48:08,240,leitura,,,,
TQ-MIX-LT,79.0083,%,OK,2026-06-28 10:48:08,240,leitura,,,,
TQ-MIX-PT,2.58017,BAR,OK,2026-06-28 10:48:08,240,leitura,,,,
RES-Q-TT,74.5824,C,OK,2026-06-28 10:48:08,240,leitura,,,,
RES-F-TT,12.4308,C,OK,2026-06-28 10:48:08,240,leitura,,,,
,28.0,,,2026-06-28 10:48:08,240,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:08,240,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.4613,C,OK,2026-06-28 10:48:11,241,leitura,,,,
TQ-MIX-LT,78.8643,%,OK,2026-06-28 10:48:11,241,leitura,,,,
TQ-MIX-PT,2.57729,BAR,OK,2026-06-28 10:48:11,241,leitura,,,,
RES-Q-TT,74.4613,C,OK,2026-06-28 10:48:11,241,leitura,,,,
RES-F-TT,12.2366,C,OK,2026-06-28 10:48:11,241,leitura,,,,
,28.0,,,2026-06-28 10:48:11,241,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:11,241,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.4915,C,OK,2026-06-28 10:48:14,242,leitura,,,,
TQ-MIX-LT,78.7203,%,OK,2026-06-28 10:48:14,242,leitura,,,,
TQ-MIX-PT,2.5744100000000003,BAR,OK,2026-06-28 10:48:14,242,leitura,,,,
RES-Q-TT,74.6567,C,OK,2026-06-28 10:48:14,242,leitura,,,,
RES-F-TT,12.4915,C,OK,2026-06-28 10:48:14,242,leitura,,,,
,28.0,,,2026-06-28 10:48:14,242,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:14,242,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.4094,C,OK,2026-06-28 10:48:17,243,leitura,,,,
TQ-MIX-LT,78.5763,%,OK,2026-06-28 10:48:17,243,leitura,,,,
TQ-MIX-PT,2.57153,BAR,OK,2026-06-28 10:48:17,243,leitura,,,,
RES-Q-TT,74.4094,C,OK,2026-06-28 10:48:17,243,leitura,,,,
RES-F-TT,12.5762,C,OK,2026-06-28 10:48:17,243,leitura,,,,
,28.0,,,2026-06-28 10:48:17,243,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:17,243,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.3926,C,OK,2026-06-28 10:48:20,244,leitura,,,,
TQ-MIX-LT,78.4323,%,OK,2026-06-28 10:48:20,244,leitura,,,,
TQ-MIX-PT,2.56865,BAR,OK,2026-06-28 10:48:20,244,leitura,,,,
RES-Q-TT,74.4857,C,OK,2026-06-28 10:48:20,244,leitura,,,,
RES-F-TT,12.3926,C,OK,2026-06-28 10:48:20,244,leitura,,,,
,28.0,,,2026-06-28 10:48:20,244,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:20,244,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.4542,C,OK,2026-06-28 10:48:23,245,leitura,,,,
TQ-MIX-LT,78.2883,%,OK,2026-06-28 10:48:23,245,leitura,,,,
TQ-MIX-PT,2.56577,BAR,OK,2026-06-28 10:48:23,245,leitura,,,,
RES-Q-TT,74.4542,C,OK,2026-06-28 10:48:23,245,leitura,,,,
RES-F-TT,12.4914,C,OK,2026-06-28 10:48:23,245,leitura,,,,
,28.0,,,2026-06-28 10:48:23,245,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:23,245,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.4668,C,OK,2026-06-28 10:48:26,246,leitura,,,,
TQ-MIX-LT,78.1443,%,OK,2026-06-28 10:48:26,246,leitura,,,,
TQ-MIX-PT,2.56289,BAR,OK,2026-06-28 10:48:26,246,leitura,,,,
RES-Q-TT,74.613,C,OK,2026-06-28 10:48:26,246,leitura,,,,
RES-F-TT,12.4668,C,OK,2026-06-28 10:48:26,246,leitura,,,,
,28.0,,,2026-06-28 10:48:26,246,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:26,246,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.6782,C,OK,2026-06-28 10:48:29,247,leitura,,,,
TQ-MIX-LT,78.0003,%,OK,2026-06-28 10:48:29,247,leitura,,,,
TQ-MIX-PT,2.56001,BAR,OK,2026-06-28 10:48:29,247,leitura,,,,
RES-Q-TT,74.6782,C,OK,2026-06-28 10:48:29,247,leitura,,,,
RES-F-TT,12.3766,C,OK,2026-06-28 10:48:29,247,leitura,,,,
,28.0,,,2026-06-28 10:48:29,247,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:29,247,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.2431,C,OK,2026-06-28 10:48:32,248,leitura,,,,
TQ-MIX-LT,77.8563,%,OK,2026-06-28 10:48:32,248,leitura,,,,
TQ-MIX-PT,2.55713,BAR,OK,2026-06-28 10:48:32,248,leitura,,,,
RES-Q-TT,74.5355,C,OK,2026-06-28 10:48:32,248,leitura,,,,
RES-F-TT,12.2431,C,OK,2026-06-28 10:48:32,248,leitura,,,,
,28.0,,,2026-06-28 10:48:32,248,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:32,248,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.2419,C,OK,2026-06-28 10:48:35,249,leitura,,,,
TQ-MIX-LT,77.7123,%,OK,2026-06-28 10:48:35,249,leitura,,,,
TQ-MIX-PT,2.55425,BAR,OK,2026-06-28 10:48:35,249,leitura,,,,
RES-Q-TT,74.2419,C,OK,2026-06-28 10:48:35,249,leitura,,,,
RES-F-TT,12.3285,C,OK,2026-06-28 10:48:35,249,leitura,,,,
,28.0,,,2026-06-28 10:48:35,249,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:35,249,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.3628,C,OK,2026-06-28 10:48:38,250,leitura,,,,
TQ-MIX-LT,77.5683,%,OK,2026-06-28 10:48:38,250,leitura,,,,
TQ-MIX-PT,2.55137,BAR,OK,2026-06-28 10:48:38,250,leitura,,,,
RES-Q-TT,74.4207,C,OK,2026-06-28 10:48:38,250,leitura,,,,
RES-F-TT,12.3628,C,OK,2026-06-28 10:48:38,250,leitura,,,,
,28.0,,,2026-06-28 10:48:38,250,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:38,250,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.2701,C,OK,2026-06-28 10:48:41,251,leitura,,,,
TQ-MIX-LT,77.4243,%,OK,2026-06-28 10:48:41,251,leitura,,,,
TQ-MIX-PT,2.54849,BAR,OK,2026-06-28 10:48:41,251,leitura,,,,
RES-Q-TT,74.2701,C,OK,2026-06-28 10:48:41,251,leitura,,,,
RES-F-TT,12.4698,C,OK,2026-06-28 10:48:41,251,leitura,,,,
,28.0,,,2026-06-28 10:48:41,251,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:41,251,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.2112,C,OK,2026-06-28 10:48:44,252,leitura,,,,
TQ-MIX-LT,77.2803,%,OK,2026-06-28 10:48:44,252,leitura,,,,
TQ-MIX-PT,2.54561,BAR,OK,2026-06-28 10:48:44,252,leitura,,,,
RES-Q-TT,74.2872,C,OK,2026-06-28 10:48:44,252,leitura,,,,
RES-F-TT,12.2112,C,OK,2026-06-28 10:48:44,252,leitura,,,,
,28.0,,,2026-06-28 10:48:44,252,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:44,252,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.4983,C,OK,2026-06-28 10:48:47,253,leitura,,,,
TQ-MIX-LT,77.1363,%,OK,2026-06-28 10:48:47,253,leitura,,,,
TQ-MIX-PT,2.54273,BAR,OK,2026-06-28 10:48:47,253,leitura,,,,
RES-Q-TT,74.4983,C,OK,2026-06-28 10:48:47,253,leitura,,,,
RES-F-TT,12.4734,C,OK,2026-06-28 10:48:47,253,leitura,,,,
,28.0,,,2026-06-28 10:48:47,253,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:47,253,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.4136,C,OK,2026-06-28 10:48:50,254,leitura,,,,
TQ-MIX-LT,76.9923,%,OK,2026-06-28 10:48:50,254,leitura,,,,
TQ-MIX-PT,2.53985,BAR,OK,2026-06-28 10:48:50,254,leitura,,,,
RES-Q-TT,74.2305,C,OK,2026-06-28 10:48:50,254,leitura,,,,
RES-F-TT,12.4136,C,OK,2026-06-28 10:48:50,254,leitura,,,,
,28.0,,,2026-06-28 10:48:50,254,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:50,254,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.3652,C,OK,2026-06-28 10:48:53,255,leitura,,,,
TQ-MIX-LT,76.8483,%,OK,2026-06-28 10:48:53,255,leitura,,,,
TQ-MIX-PT,2.53697,BAR,OK,2026-06-28 10:48:53,255,leitura,,,,
RES-Q-TT,74.3652,C,OK,2026-06-28 10:48:53,255,leitura,,,,
RES-F-TT,12.1399,C,OK,2026-06-28 10:48:53,255,leitura,,,,
,28.0,,,2026-06-28 10:48:53,255,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:53,255,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.3251,C,OK,2026-06-28 10:48:56,256,leitura,,,,
TQ-MIX-LT,76.7043,%,OK,2026-06-28 10:48:56,256,leitura,,,,
TQ-MIX-PT,2.53409,BAR,OK,2026-06-28 10:48:56,256,leitura,,,,
RES-Q-TT,74.5171,C,OK,2026-06-28 10:48:56,256,leitura,,,,
RES-F-TT,12.3251,C,OK,2026-06-28 10:48:56,256,leitura,,,,
,28.0,,,2026-06-28 10:48:56,256,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:56,256,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.5456,C,OK,2026-06-28 10:48:59,257,leitura,,,,
TQ-MIX-LT,76.5603,%,OK,2026-06-28 10:48:59,257,leitura,,,,
TQ-MIX-PT,2.53121,BAR,OK,2026-06-28 10:48:59,257,leitura,,,,
RES-Q-TT,74.5456,C,OK,2026-06-28 10:48:59,257,leitura,,,,
RES-F-TT,12.2463,C,OK,2026-06-28 10:48:59,257,leitura,,,,
,28.0,,,2026-06-28 10:48:59,257,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:48:59,257,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.2211,C,OK,2026-06-28 10:49:02,258,leitura,,,,
TQ-MIX-LT,76.4163,%,OK,2026-06-28 10:49:02,258,leitura,,,,
TQ-MIX-PT,2.52833,BAR,OK,2026-06-28 10:49:02,258,leitura,,,,
RES-Q-TT,74.831,C,OK,2026-06-28 10:49:02,258,leitura,,,,
RES-F-TT,12.2211,C,OK,2026-06-28 10:49:02,258,leitura,,,,
,28.0,,,2026-06-28 10:49:02,258,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:02,258,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,75.0271,C,OK,2026-06-28 10:49:05,259,leitura,,,,
TQ-MIX-LT,76.2723,%,OK,2026-06-28 10:49:05,259,leitura,,,,
TQ-MIX-PT,2.52545,BAR,OK,2026-06-28 10:49:05,259,leitura,,,,
RES-Q-TT,75.0271,C,OK,2026-06-28 10:49:05,259,leitura,,,,
RES-F-TT,12.4877,C,OK,2026-06-28 10:49:05,259,leitura,,,,
,28.0,,,2026-06-28 10:49:05,259,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:05,259,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.45,C,OK,2026-06-28 10:49:08,260,leitura,,,,
TQ-MIX-LT,76.1283,%,OK,2026-06-28 10:49:08,260,leitura,,,,
TQ-MIX-PT,2.52257,BAR,OK,2026-06-28 10:49:08,260,leitura,,,,
RES-Q-TT,74.8551,C,OK,2026-06-28 10:49:08,260,leitura,,,,
RES-F-TT,12.45,C,OK,2026-06-28 10:49:08,260,leitura,,,,
,28.0,,,2026-06-28 10:49:08,260,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:08,260,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.6397,C,OK,2026-06-28 10:49:11,261,leitura,,,,
TQ-MIX-LT,75.9843,%,OK,2026-06-28 10:49:11,261,leitura,,,,
TQ-MIX-PT,2.51969,BAR,OK,2026-06-28 10:49:11,261,leitura,,,,
RES-Q-TT,74.6397,C,OK,2026-06-28 10:49:11,261,leitura,,,,
RES-F-TT,12.4533,C,OK,2026-06-28 10:49:11,261,leitura,,,,
,28.0,,,2026-06-28 10:49:11,261,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:11,261,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.7074,C,OK,2026-06-28 10:49:14,262,leitura,,,,
TQ-MIX-LT,75.8403,%,OK,2026-06-28 10:49:14,262,leitura,,,,
TQ-MIX-PT,2.51681,BAR,OK,2026-06-28 10:49:14,262,leitura,,,,
RES-Q-TT,74.6241,C,OK,2026-06-28 10:49:14,262,leitura,,,,
RES-F-TT,12.7074,C,OK,2026-06-28 10:49:14,262,leitura,,,,
,28.0,,,2026-06-28 10:49:14,262,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:14,262,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.7832,C,OK,2026-06-28 10:49:17,263,leitura,,,,
TQ-MIX-LT,75.6963,%,OK,2026-06-28 10:49:17,263,leitura,,,,
TQ-MIX-PT,2.51393,BAR,OK,2026-06-28 10:49:17,263,leitura,,,,
RES-Q-TT,74.7832,C,OK,2026-06-28 10:49:17,263,leitura,,,,
RES-F-TT,12.6136,C,OK,2026-06-28 10:49:17,263,leitura,,,,
,28.0,,,2026-06-28 10:49:17,263,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:17,263,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.5636,C,OK,2026-06-28 10:49:20,264,leitura,,,,
TQ-MIX-LT,75.5523,%,OK,2026-06-28 10:49:20,264,leitura,,,,
TQ-MIX-PT,2.51105,BAR,OK,2026-06-28 10:49:20,264,leitura,,,,
RES-Q-TT,74.5867,C,OK,2026-06-28 10:49:20,264,leitura,,,,
RES-F-TT,12.5636,C,OK,2026-06-28 10:49:20,264,leitura,,,,
,28.0,,,2026-06-28 10:49:20,264,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:20,264,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.4493,C,OK,2026-06-28 10:49:23,265,leitura,,,,
TQ-MIX-LT,75.4083,%,OK,2026-06-28 10:49:23,265,leitura,,,,
TQ-MIX-PT,2.50817,BAR,OK,2026-06-28 10:49:23,265,leitura,,,,
RES-Q-TT,74.4493,C,OK,2026-06-28 10:49:23,265,leitura,,,,
RES-F-TT,12.3746,C,OK,2026-06-28 10:49:23,265,leitura,,,,
,28.0,,,2026-06-28 10:49:23,265,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:23,265,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.1204,C,OK,2026-06-28 10:49:26,266,leitura,,,,
TQ-MIX-LT,75.2643,%,OK,2026-06-28 10:49:26,266,leitura,,,,
TQ-MIX-PT,2.50529,BAR,OK,2026-06-28 10:49:26,266,leitura,,,,
RES-Q-TT,74.1953,C,OK,2026-06-28 10:49:26,266,leitura,,,,
RES-F-TT,12.1204,C,OK,2026-06-28 10:49:26,266,leitura,,,,
,28.0,,,2026-06-28 10:49:26,266,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:26,266,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.1139,C,OK,2026-06-28 10:49:29,267,leitura,,,,
TQ-MIX-LT,75.1203,%,OK,2026-06-28 10:49:29,267,leitura,,,,
TQ-MIX-PT,2.50241,BAR,OK,2026-06-28 10:49:29,267,leitura,,,,
RES-Q-TT,74.1139,C,OK,2026-06-28 10:49:29,267,leitura,,,,
RES-F-TT,11.9211,C,OK,2026-06-28 10:49:29,267,leitura,,,,
,28.0,,,2026-06-28 10:49:29,267,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:29,267,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.0285,C,OK,2026-06-28 10:49:32,268,leitura,,,,
TQ-MIX-LT,74.9763,%,OK,2026-06-28 10:49:32,268,leitura,,,,
TQ-MIX-PT,2.49953,BAR,OK,2026-06-28 10:49:32,268,leitura,,,,
RES-Q-TT,74.0082,C,OK,2026-06-28 10:49:32,268,leitura,,,,
RES-F-TT,12.0285,C,OK,2026-06-28 10:49:32,268,leitura,,,,
,28.0,,,2026-06-28 10:49:32,268,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:32,268,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,73.7629,C,OK,2026-06-28 10:49:35,269,leitura,,,,
TQ-MIX-LT,74.8323,%,OK,2026-06-28 10:49:35,269,leitura,,,,
TQ-MIX-PT,2.49665,BAR,OK,2026-06-28 10:49:35,269,leitura,,,,
RES-Q-TT,73.7629,C,OK,2026-06-28 10:49:35,269,leitura,,,,
RES-F-TT,12.1217,C,OK,2026-06-28 10:49:35,269,leitura,,,,
,28.0,,,2026-06-28 10:49:35,269,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:35,269,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.1525,C,OK,2026-06-28 10:49:38,270,leitura,,,,
TQ-MIX-LT,74.6883,%,OK,2026-06-28 10:49:38,270,leitura,,,,
TQ-MIX-PT,2.49377,BAR,OK,2026-06-28 10:49:38,270,leitura,,,,
RES-Q-TT,73.5162,C,OK,2026-06-28 10:49:38,270,leitura,,,,
RES-F-TT,12.1525,C,OK,2026-06-28 10:49:38,270,leitura,,,,
,28.0,,,2026-06-28 10:49:38,270,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:38,270,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,73.6279,C,OK,2026-06-28 10:49:41,271,leitura,,,,
TQ-MIX-LT,74.5443,%,OK,2026-06-28 10:49:41,271,leitura,,,,
TQ-MIX-PT,2.4908900000000003,BAR,OK,2026-06-28 10:49:41,271,leitura,,,,
RES-Q-TT,73.6279,C,OK,2026-06-28 10:49:41,271,leitura,,,,
RES-F-TT,12.3794,C,OK,2026-06-28 10:49:41,271,leitura,,,,
,28.0,,,2026-06-28 10:49:41,271,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:41,271,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.305,C,OK,2026-06-28 10:49:44,272,leitura,,,,
TQ-MIX-LT,74.4003,%,OK,2026-06-28 10:49:44,272,leitura,,,,
TQ-MIX-PT,2.48801,BAR,OK,2026-06-28 10:49:44,272,leitura,,,,
RES-Q-TT,73.5626,C,OK,2026-06-28 10:49:44,272,leitura,,,,
RES-F-TT,12.305,C,OK,2026-06-28 10:49:44,272,leitura,,,,
,28.0,,,2026-06-28 10:49:44,272,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:44,272,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,73.3683,C,OK,2026-06-28 10:49:47,273,leitura,,,,
TQ-MIX-LT,74.2563,%,OK,2026-06-28 10:49:47,273,leitura,,,,
TQ-MIX-PT,2.48513,BAR,OK,2026-06-28 10:49:47,273,leitura,,,,
RES-Q-TT,73.3683,C,OK,2026-06-28 10:49:47,273,leitura,,,,
RES-F-TT,12.2179,C,OK,2026-06-28 10:49:47,273,leitura,,,,
,28.0,,,2026-06-28 10:49:47,273,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:47,273,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.3191,C,OK,2026-06-28 10:49:50,274,leitura,,,,
TQ-MIX-LT,74.1123,%,OK,2026-06-28 10:49:50,274,leitura,,,,
TQ-MIX-PT,2.48225,BAR,OK,2026-06-28 10:49:50,274,leitura,,,,
RES-Q-TT,73.4451,C,OK,2026-06-28 10:49:50,274,leitura,,,,
RES-F-TT,12.3191,C,OK,2026-06-28 10:49:50,274,leitura,,,,
,28.0,,,2026-06-28 10:49:50,274,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:50,274,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,73.5843,C,OK,2026-06-28 10:49:53,275,leitura,,,,
TQ-MIX-LT,73.9683,%,OK,2026-06-28 10:49:53,275,leitura,,,,
TQ-MIX-PT,2.47937,BAR,OK,2026-06-28 10:49:53,275,leitura,,,,
RES-Q-TT,73.5843,C,OK,2026-06-28 10:49:53,275,leitura,,,,
RES-F-TT,12.4793,C,OK,2026-06-28 10:49:53,275,leitura,,,,
,28.0,,,2026-06-28 10:49:53,275,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:53,275,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.4022,C,OK,2026-06-28 10:49:56,276,leitura,,,,
TQ-MIX-LT,73.8243,%,OK,2026-06-28 10:49:56,276,leitura,,,,
TQ-MIX-PT,2.47649,BAR,OK,2026-06-28 10:49:56,276,leitura,,,,
RES-Q-TT,73.7243,C,OK,2026-06-28 10:49:56,276,leitura,,,,
RES-F-TT,12.4022,C,OK,2026-06-28 10:49:56,276,leitura,,,,
,28.0,,,2026-06-28 10:49:56,276,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:56,276,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,73.9002,C,OK,2026-06-28 10:49:59,277,leitura,,,,
TQ-MIX-LT,73.6803,%,OK,2026-06-28 10:49:59,277,leitura,,,,
TQ-MIX-PT,2.47361,BAR,OK,2026-06-28 10:49:59,277,leitura,,,,
RES-Q-TT,73.9002,C,OK,2026-06-28 10:49:59,277,leitura,,,,
RES-F-TT,12.41,C,OK,2026-06-28 10:49:59,277,leitura,,,,
,28.0,,,2026-06-28 10:49:59,277,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:49:59,277,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.2709,C,OK,2026-06-28 10:50:02,278,leitura,,,,
TQ-MIX-LT,73.5363,%,OK,2026-06-28 10:50:02,278,leitura,,,,
TQ-MIX-PT,2.47073,BAR,OK,2026-06-28 10:50:02,278,leitura,,,,
RES-Q-TT,73.9114,C,OK,2026-06-28 10:50:02,278,leitura,,,,
RES-F-TT,12.2709,C,OK,2026-06-28 10:50:02,278,leitura,,,,
,28.0,,,2026-06-28 10:50:02,278,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:50:02,278,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,74.0906,C,OK,2026-06-28 10:50:05,279,leitura,,,,
TQ-MIX-LT,73.3923,%,OK,2026-06-28 10:50:05,279,leitura,,,,
TQ-MIX-PT,2.46785,BAR,OK,2026-06-28 10:50:05,279,leitura,,,,
RES-Q-TT,74.0906,C,OK,2026-06-28 10:50:05,279,leitura,,,,
RES-F-TT,12.3434,C,OK,2026-06-28 10:50:05,279,leitura,,,,
,28.0,,,2026-06-28 10:50:05,279,atuador,BOMBA-Q,PRINCIPAL,,
,28.0,,,2026-06-28 10:50:05,279,atuador,BOMBA-F,PRINCIPAL,,
TQ-MIX-TT,12.5062,C,OK,2026-06-28 10:50:08,280,leitura,,,,
TQ-MIX-LT,73.2483,%,OK,2026-06-28 10:50:08,280,leitura,,,,
TQ-MIX-PT,2.46497,BAR,OK,2026-06-28 10:50:08,280,leitura,,,,
RES-Q-TT,74.3026,C,OK,2026-06-28 10:50:08,280,leitura,,,,
